month,month_name,origin_state_abbr,operating_airline,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,AR,OO,378.0,20.0,208.0,110.0,82.0,69.0,46.0,25.0,150.0,106.0,74.0,50.0,30.0,10746.0,11631.0,11373.0,0.3968253968253968,0.291005291005291,0.05291005291005291,30.76984126984127,28.428571428571427,30.08730158730159
1,January,AR,WN,223.0,5.0,159.0,65.0,30.0,20.0,12.0,3.0,59.0,31.0,18.0,10.0,4.0,2340.0,2273.0,2125.0,0.2645739910313901,0.2914798206278027,0.02242152466367713,10.192825112107624,10.493273542600896,9.52914798206278
1,January,AR,YX,113.0,4.0,57.0,26.0,18.0,16.0,11.0,6.0,52.0,32.0,16.0,14.0,9.0,2436.0,3130.0,2980.0,0.46017699115044247,0.23008849557522124,0.035398230088495575,27.699115044247787,21.557522123893804,26.371681415929203
1,January,AZ,AA,4887.0,36.0,2839.0,1809.0,1121.0,767.0,444.0,188.0,2012.0,1185.0,771.0,436.0,177.0,99497.0,100117.0,94441.0,0.4117045222017598,0.3701657458563536,0.007366482504604052,20.486392469817883,20.35952527112748,19.324943728258646
1,January,AZ,AS,442.0,77.0,205.0,138.0,89.0,59.0,24.0,7.0,160.0,91.0,61.0,28.0,8.0,5763.0,6142.0,5651.0,0.36199095022624433,0.31221719457013575,0.17420814479638008,13.895927601809955,13.038461538461538,12.785067873303168
1,January,AZ,B6,62.0,0.0,28.0,27.0,16.0,11.0,8.0,4.0,34.0,21.0,13.0,9.0,5.0,2354.0,2564.0,2484.0,0.5483870967741935,0.43548387096774194,0.0,41.354838709677416,37.96774193548387,40.064516129032256
1,January,AZ,DL,994.0,2.0,717.0,330.0,150.0,81.0,37.0,20.0,275.0,130.0,74.0,36.0,20.0,12388.0,10976.0,10118.0,0.2766599597585513,0.3319919517102616,0.002012072434607646,11.04225352112676,12.462776659959758,10.179074446680081
1,January,AZ,F9,710.0,8.0,464.0,171.0,116.0,84.0,39.0,14.0,238.0,125.0,86.0,45.0,18.0,8252.0,9254.0,8533.0,0.3352112676056338,0.24084507042253522,0.011267605633802818,13.033802816901408,11.622535211267605,12.018309859154929
1,January,AZ,G4,545.0,11.0,361.0,145.0,89.0,58.0,33.0,18.0,173.0,96.0,59.0,35.0,19.0,8948.0,9548.0,9044.0,0.3174311926605505,0.26605504587155965,0.02018348623853211,17.519266055045872,16.418348623853213,16.594495412844037
1,January,AZ,HA,31.0,0.0,12.0,11.0,4.0,3.0,2.0,1.0,19.0,10.0,5.0,1.0,1.0,339.0,563.0,484.0,0.6129032258064516,0.3548387096774194,0.0,18.161290322580644,10.935483870967742,15.612903225806452
1,January,AZ,MQ,360.0,5.0,198.0,129.0,74.0,54.0,33.0,13.0,157.0,82.0,52.0,33.0,11.0,6352.0,6449.0,6026.0,0.4361111111111111,0.35833333333333334,0.013888888888888888,17.913888888888888,17.644444444444446,16.738888888888887
1,January,AZ,NK,127.0,2.0,68.0,54.0,37.0,23.0,12.0,3.0,57.0,39.0,22.0,10.0,4.0,2075.0,2021.0,1900.0,0.44881889763779526,0.4251968503937008,0.015748031496062992,15.913385826771654,16.338582677165356,14.960629921259843
1,January,AZ,OO,3092.0,17.0,2087.0,654.0,391.0,259.0,143.0,62.0,988.0,478.0,289.0,142.0,61.0,32791.0,35694.0,32660.0,0.31953428201811124,0.2115135834411384,0.005498059508408797,11.543984476067271,10.605109961190168,10.5627425614489
1,January,AZ,UA,924.0,85.0,588.0,247.0,139.0,89.0,58.0,25.0,251.0,129.0,85.0,57.0,24.0,12762.0,12342.0,11580.0,0.27164502164502163,0.26731601731601734,0.09199134199134198,13.357142857142858,13.811688311688311,12.532467532467532
1,January,AZ,WN,5580.0,97.0,3179.0,2763.0,1242.0,684.0,241.0,60.0,2304.0,1139.0,603.0,228.0,56.0,64556.0,57915.0,50304.0,0.4129032258064516,0.49516129032258066,0.017383512544802866,10.379032258064516,11.569175627240144,9.01505376344086
1,January,CA,AA,5818.0,41.0,3523.0,2021.0,1199.0,831.0,499.0,248.0,2254.0,1280.0,840.0,477.0,239.0,127333.0,127463.0,121309.0,0.3874183568236507,0.3473702303196975,0.007047095221725679,21.908387762117567,21.88604331385356,20.85063595737367
1,January,CA,AS,3347.0,714.0,1549.0,898.0,496.0,333.0,185.0,65.0,1084.0,580.0,357.0,185.0,67.0,34833.0,37613.0,34170.0,0.32387212429040935,0.26829997012249773,0.21332536599940244,11.23782491783687,10.407230355542277,10.209142515685688
1,January,CA,B6,1403.0,3.0,790.0,497.0,315.0,204.0,113.0,43.0,610.0,337.0,209.0,96.0,47.0,24584.0,25393.0,23571.0,0.43478260869565216,0.35424091233071986,0.0021382751247327157,18.099073414112617,17.522451888809695,16.800427655024947
1,January,CA,DL,5472.0,18.0,3753.0,1640.0,747.0,468.0,253.0,101.0,1701.0,792.0,434.0,221.0,89.0,58062.0,56702.0,50880.0,0.31085526315789475,0.2997076023391813,0.003289473684210526,10.362207602339181,10.610745614035087,9.298245614035087
1,January,CA,F9,709.0,2.0,485.0,210.0,141.0,107.0,54.0,29.0,222.0,152.0,96.0,55.0,31.0,14955.0,15087.0,14589.0,0.3131170662905501,0.29619181946403383,0.0028208744710860366,21.279266572637518,21.09308885754584,20.576868829337094
