month,month_name,origin_state_abbr,operating_airline,primary_delay_cause,flights,delayed_flights,sum_arrival_delay_min,sum_total_delay_min,delay_rate,avg_arrival_delay_min,avg_total_delay_min
1,January,FL,AA,Weather,81.0,81.0,14333.0,14333.0,1.0,176.9506172839506,176.9506172839506
1,January,FL,AS,Carrier,28.0,26.0,2341.0,2341.0,0.9285714285714286,83.60714285714286,83.60714285714286
1,January,FL,AS,Late Aircraft,47.0,46.0,3276.0,3276.0,0.9787234042553191,69.70212765957447,69.70212765957447
1,January,FL,AS,NAS,47.0,43.0,1593.0,1593.0,0.9148936170212766,33.8936170212766,33.8936170212766
1,January,FL,AS,No Delay,532.0,0.0,508.0,0.0,0.0,0.9548872180451128,0.0
1,January,FL,AS,Security,1.0,1.0,17.0,17.0,1.0,17.0,17.0
1,January,FL,AS,Weather,5.0,4.0,332.0,332.0,0.8,66.4,66.4
1,January,FL,B6,Carrier,505.0,482.0,39486.0,39486.0,0.9544554455445544,78.19009900990099,78.19009900990099
1,January,FL,B6,Late Aircraft,584.0,574.0,48002.0,48002.0,0.9828767123287672,82.19520547945206,82.19520547945206
1,January,FL,B6,NAS,294.0,283.0,15719.0,15719.0,0.9625850340136054,53.465986394557824,53.465986394557824
1,January,FL,B6,No Delay,3876.0,0.0,4006.0,0.0,0.0,1.0335397316821466,0.0
1,January,FL,B6,Security,3.0,3.0,214.0,214.0,1.0,71.33333333333333,71.33333333333333
1,January,FL,B6,Weather,20.0,20.0,5749.0,5749.0,1.0,287.45,287.45
1,January,FL,DL,Carrier,427.0,415.0,43523.0,43523.0,0.9718969555035128,101.92740046838408,101.92740046838408
1,January,FL,DL,Late Aircraft,649.0,635.0,47871.0,47871.0,0.9784283513097073,73.76117103235747,73.76117103235747
1,January,FL,DL,NAS,376.0,361.0,17441.0,17441.0,0.9601063829787234,46.38563829787234,46.38563829787234
1,January,FL,DL,No Delay,6522.0,0.0,6429.0,0.0,0.0,0.9857405703771849,0.0
1,January,FL,DL,Security,1.0,1.0,27.0,27.0,1.0,27.0,27.0
1,January,FL,DL,Weather,13.0,13.0,1546.0,1546.0,1.0,118.92307692307692,118.92307692307692
1,January,FL,F9,Carrier,295.0,290.0,26962.0,26962.0,0.9830508474576272,91.39661016949152,91.39661016949152
1,January,FL,F9,Late Aircraft,483.0,474.0,48233.0,48233.0,0.9813664596273292,99.86128364389234,99.86128364389234
1,January,FL,F9,NAS,192.0,184.0,8724.0,8724.0,0.9583333333333334,45.4375,45.4375
1,January,FL,F9,No Delay,2731.0,0.0,3520.0,0.0,0.0,1.2889051629439765,0.0
1,January,FL,F9,Weather,17.0,17.0,2781.0,2781.0,1.0,163.58823529411765,163.58823529411765
1,January,FL,G4,Carrier,137.0,134.0,9910.0,9910.0,0.9781021897810219,72.33576642335767,72.33576642335767
1,January,FL,G4,Late Aircraft,242.0,242.0,21297.0,21297.0,1.0,88.00413223140495,88.00413223140495
1,January,FL,G4,NAS,89.0,84.0,5553.0,5553.0,0.9438202247191011,62.39325842696629,62.39325842696629
1,January,FL,G4,No Delay,2106.0,0.0,1789.0,0.0,0.0,0.8494776828110161,0.0
1,January,FL,G4,Security,1.0,1.0,51.0,51.0,1.0,51.0,51.0
1,January,FL,G4,Weather,34.0,34.0,3990.0,3990.0,1.0,117.3529411764706,117.3529411764706
1,January,FL,MQ,Carrier,115.0,107.0,4833.0,4833.0,0.9304347826086956,42.02608695652174,42.02608695652174
1,January,FL,MQ,Late Aircraft,259.0,253.0,14448.0,14448.0,0.9768339768339769,55.78378378378378,55.78378378378378
1,January,FL,MQ,NAS,169.0,161.0,6209.0,6209.0,0.9526627218934911,36.739644970414204,36.739644970414204
1,January,FL,MQ,No Delay,1822.0,0.0,3146.0,0.0,0.0,1.7266739846322723,0.0
1,January,FL,MQ,Security,3.0,3.0,88.0,88.0,1.0,29.333333333333332,29.333333333333332
1,January,FL,MQ,Weather,11.0,11.0,1101.0,1101.0,1.0,100.0909090909091,100.0909090909091
1,January,FL,NK,Carrier,551.0,522.0,31158.0,31158.0,0.9473684210526315,56.5480943738657,56.5480943738657
1,January,FL,NK,Late Aircraft,460.0,453.0,30391.0,30391.0,0.9847826086956522,66.06739130434782,66.06739130434782
1,January,FL,NK,NAS,718.0,702.0,44846.0,44846.0,0.9777158774373259,62.459610027855156,62.459610027855156
1,January,FL,NK,No Delay,4109.0,0.0,7007.0,0.0,0.0,1.7052810902896083,0.0
1,January,FL,NK,Security,66.0,63.0,2202.0,2202.0,0.9545454545454546,33.36363636363637,33.36363636363637
1,January,FL,NK,Weather,35.0,34.0,2767.0,2767.0,0.9714285714285714,79.05714285714286,79.05714285714286
1,January,FL,OH,Carrier,25.0,25.0,3922.0,3922.0,1.0,156.88,156.88
1,January,FL,OH,Late Aircraft,66.0,66.0,7282.0,7282.0,1.0,110.33333333333333,110.33333333333333
1,January,FL,OH,NAS,24.0,23.0,1045.0,1045.0,0.9583333333333334,43.541666666666664,43.541666666666664
1,January,FL,OH,No Delay,420.0,0.0,436.0,0.0,0.0,1.0380952380952382,0.0
1,January,FL,OH,Weather,9.0,9.0,2791.0,2791.0,1.0,310.1111111111111,310.1111111111111
1,January,FL,OO,Late Aircraft,6.0,6.0,269.0,269.0,1.0,44.833333333333336,44.833333333333336
1,January,FL,OO,No Delay,10.0,0.0,27.0,0.0,0.0,2.7,0.0
