month,month_name,origin_state_abbr,operating_airline,origin_airport,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,AL,YX,HSV,42.0,4.0,26.0,12.0,8.0,7.0,3.0,1.0,12.0,8.0,7.0,4.0,0.0,522.0,498.0,473.0,0.2857142857142857,0.2857142857142857,0.09523809523809523,11.857142857142858,12.428571428571429,11.261904761904763
1,January,AR,9E,LIT,32.0,1.0,18.0,12.0,10.0,9.0,6.0,4.0,13.0,11.0,10.0,8.0,4.0,904.0,1020.0,1007.0,0.40625,0.375,0.03125,31.875,28.25,31.46875
1,January,AR,9E,XNA,112.0,2.0,61.0,30.0,22.0,17.0,10.0,7.0,49.0,26.0,15.0,10.0,7.0,2258.0,2547.0,2380.0,0.4375,0.26785714285714285,0.017857142857142856,22.741071428571427,20.160714285714285,21.25
1,January,AR,AA,LIT,48.0,0.0,14.0,26.0,23.0,15.0,8.0,3.0,34.0,20.0,15.0,7.0,3.0,1339.0,1361.0,1274.0,0.7083333333333334,0.5416666666666666,0.0,28.354166666666668,27.895833333333332,26.541666666666668
1,January,AR,AA,XNA,79.0,1.0,29.0,37.0,28.0,19.0,10.0,5.0,49.0,36.0,27.0,14.0,6.0,2334.0,3078.0,3004.0,0.620253164556962,0.46835443037974683,0.012658227848101266,38.962025316455694,29.544303797468356,38.0253164556962
1,January,AR,DL,LIT,129.0,0.0,87.0,25.0,16.0,11.0,6.0,3.0,42.0,30.0,14.0,6.0,4.0,1324.0,1915.0,1818.0,0.32558139534883723,0.1937984496124031,0.0,14.844961240310077,10.263565891472869,14.093023255813954
1,January,AR,DL,XNA,19.0,0.0,12.0,5.0,2.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,73.0,82.0,64.0,0.3684210526315789,0.2631578947368421,0.0,4.315789473684211,3.8421052631578947,3.3684210526315788
1,January,AR,F9,LIT,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
1,January,AR,F9,XNA,6.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.0,30.0,30.0,0.16666666666666666,0.3333333333333333,0.0,5.0,5.166666666666667,5.0
1,January,AR,G4,LIT,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,159.0,146.0,146.0,1.0,1.0,0.0,73.0,79.5,73.0
1,January,AR,G4,XNA,58.0,1.0,34.0,19.0,13.0,8.0,6.0,4.0,23.0,17.0,9.0,7.0,5.0,3106.0,3487.0,3450.0,0.39655172413793105,0.3275862068965517,0.017241379310344827,60.12068965517241,53.55172413793103,59.48275862068966
1,January,AR,MQ,LIT,218.0,10.0,110.0,87.0,53.0,35.0,22.0,13.0,98.0,61.0,35.0,24.0,14.0,4332.0,4483.0,4243.0,0.44954128440366975,0.39908256880733944,0.045871559633027525,20.56422018348624,19.871559633027523,19.46330275229358
1,January,AR,MQ,XNA,413.0,17.0,192.0,158.0,103.0,71.0,48.0,24.0,204.0,128.0,100.0,57.0,34.0,8205.0,10999.0,10392.0,0.4939467312348668,0.38256658595641646,0.04116222760290557,26.631961259079905,19.86682808716707,25.16222760290557
1,January,AR,OH,LIT,106.0,3.0,46.0,52.0,36.0,28.0,14.0,9.0,57.0,41.0,28.0,15.0,9.0,4196.0,4302.0,4183.0,0.5377358490566038,0.49056603773584906,0.02830188679245283,40.58490566037736,39.58490566037736,39.4622641509434
1,January,AR,OH,XNA,28.0,3.0,7.0,11.0,7.0,3.0,1.0,0.0,18.0,11.0,6.0,3.0,0.0,269.0,485.0,451.0,0.6428571428571429,0.39285714285714285,0.10714285714285714,17.321428571428573,9.607142857142858,16.107142857142858
1,January,AR,OO,LIT,79.0,5.0,43.0,32.0,26.0,22.0,10.0,2.0,31.0,28.0,21.0,9.0,2.0,1963.0,1830.0,1810.0,0.3924050632911392,0.4050632911392405,0.06329113924050633,23.164556962025316,24.848101265822784,22.911392405063292
1,January,AR,OO,XNA,207.0,6.0,121.0,59.0,42.0,34.0,23.0,13.0,80.0,56.0,39.0,28.0,17.0,5470.0,6124.0,6010.0,0.3864734299516908,0.28502415458937197,0.028985507246376812,29.584541062801932,26.42512077294686,29.033816425120772
1,January,AR,WN,LIT,223.0,5.0,159.0,65.0,30.0,20.0,12.0,3.0,59.0,31.0,18.0,10.0,4.0,2340.0,2273.0,2125.0,0.2645739910313901,0.2914798206278027,0.02242152466367713,10.192825112107624,10.493273542600896,9.52914798206278
1,January,AR,YX,LIT,56.0,1.0,22.0,17.0,11.0,9.0,8.0,3.0,33.0,19.0,8.0,8.0,6.0,1053.0,1523.0,1417.0,0.5892857142857143,0.30357142857142855,0.017857142857142856,27.196428571428573,18.803571428571427,25.303571428571427
1,January,AR,YX,XNA,57.0,3.0,35.0,9.0,7.0,7.0,3.0,3.0,19.0,13.0,8.0,6.0,3.0,1383.0,1607.0,1563.0,0.3333333333333333,0.15789473684210525,0.05263157894736842,28.19298245614035,24.263157894736842,27.42105263157895
1,January,AZ,AA,PHX,4621.0,34.0,2675.0,1729.0,1062.0,728.0,418.0,176.0,1912.0,1120.0,732.0,407.0,167.0,94146.0,94592.0,89135.0,0.41376325470677344,0.3741614369184159,0.007357714780350574,20.470028132438866,20.373512226790737,19.2891149101926
1,January,AZ,AA,TUS,266.0,2.0,164.0,80.0,59.0,39.0,26.0,12.0,100.0,65.0,39.0,29.0,10.0,5351.0,5525.0,5306.0,0.37593984962406013,0.3007518796992481,0.007518796992481203,20.770676691729324,20.116541353383457,19.94736842105263
1,January,AZ,AS,PHX,398.0,75.0,184.0,124.0,81.0,53.0,22.0,6.0,139.0,80.0,55.0,25.0,7.0,5140.0,5422.0,4995.0,0.3492462311557789,0.31155778894472363,0.1884422110552764,13.623115577889447,12.914572864321608,12.550251256281408
1,January,AZ,AS,TUS,44.0,2.0,21.0,14.0,8.0,6.0,2.0,1.0,21.0,11.0,6.0,3.0,1.0,623.0,720.0,656.0,0.4772727272727273,0.3181818181818182,0.045454545454545456,16.363636363636363,14.159090909090908,14.909090909090908
1,January,AZ,B6,PHX,62.0,0.0,28.0,27.0,16.0,11.0,8.0,4.0,34.0,21.0,13.0,9.0,5.0,2354.0,2564.0,2484.0,0.5483870967741935,0.43548387096774194,0.0,41.354838709677416,37.96774193548387,40.064516129032256
1,January,AZ,DL,PHX,867.0,2.0,619.0,294.0,133.0,71.0,34.0,18.0,246.0,115.0,64.0,33.0,17.0,10652.0,9323.0,8543.0,0.2837370242214533,0.3391003460207612,0.002306805074971165,10.753171856978085,12.286043829296425,9.85351787773933
1,January,AZ,DL,TUS,127.0,0.0,98.0,36.0,17.0,10.0,3.0,2.0,29.0,15.0,10.0,3.0,3.0,1736.0,1653.0,1575.0,0.2283464566929134,0.28346456692913385,0.0,13.015748031496063,13.669291338582678,12.401574803149606
1,January,AZ,F9,PHX,710.0,8.0,464.0,171.0,116.0,84.0,39.0,14.0,238.0,125.0,86.0,45.0,18.0,8252.0,9254.0,8533.0,0.3352112676056338,0.24084507042253522,0.011267605633802818,13.033802816901408,11.622535211267605,12.018309859154929
1,January,AZ,G4,AZA,511.0,11.0,344.0,127.0,78.0,50.0,27.0,16.0,156.0,87.0,52.0,29.0,16.0,8088.0,8220.0,7760.0,0.30528375733855184,0.24853228962818003,0.021526418786692758,16.086105675146772,15.827788649706457,15.185909980430528
1,January,AZ,G4,PHX,34.0,0.0,17.0,18.0,11.0,8.0,6.0,2.0,17.0,9.0,7.0,6.0,3.0,860.0,1328.0,1284.0,0.5,0.5294117647058824,0.0,39.05882352941177,25.294117647058822,37.76470588235294
1,January,AZ,HA,PHX,31.0,0.0,12.0,11.0,4.0,3.0,2.0,1.0,19.0,10.0,5.0,1.0,1.0,339.0,563.0,484.0,0.6129032258064516,0.3548387096774194,0.0,18.161290322580644,10.935483870967742,15.612903225806452
1,January,AZ,MQ,PHX,336.0,5.0,181.0,124.0,70.0,52.0,32.0,13.0,150.0,79.0,51.0,32.0,11.0,6150.0,6266.0,5876.0,0.44642857142857145,0.36904761904761907,0.01488095238095238,18.648809523809526,18.303571428571427,17.488095238095237
1,January,AZ,MQ,TUS,24.0,0.0,17.0,5.0,4.0,2.0,1.0,0.0,7.0,3.0,1.0,1.0,0.0,202.0,183.0,150.0,0.2916666666666667,0.20833333333333334,0.0,7.625,8.416666666666666,6.25
1,January,AZ,NK,PHX,127.0,2.0,68.0,54.0,37.0,23.0,12.0,3.0,57.0,39.0,22.0,10.0,4.0,2075.0,2021.0,1900.0,0.44881889763779526,0.4251968503937008,0.015748031496062992,15.913385826771654,16.338582677165356,14.960629921259843
